Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR11878619_GSM4579144_mESC_DMSO_ATAC_rep1_Mus_musculus_ATAC-seq_1	(0.0, 27.0)	(1.0, 49.0)	(2.0, 105.0)	(3.0, 201.5)	(4.0, 386.5)	(5.0, 787.5)	(6.0, 1439.0)	(7.0, 2782.5)	(8.0, 4701.0)	(9.0, 7949.5)	(10.0, 12350.5)	(11.0, 20033.0)	(12.0, 34989.0)	(13.0, 58463.5)	(14.0, 98897.5)	(15.0, 166723.5)	(16.0, 275134.0)	(17.0, 435448.0)	(18.0, 658217.0)	(19.0, 939252.0)	(20.0, 1273227.0)	(21.0, 1687344.0)	(22.0, 2175613.5)	(23.0, 2689544.5)	(24.0, 3146248.0)	(25.0, 3504936.5)	(26.0, 3829941.5)	(27.0, 4122020.0)	(28.0, 4270728.0)	(29.0, 4334505.0)	(30.0, 4390454.5)	(31.0, 4427414.5)	(32.0, 4541075.0)	(33.0, 4708952.0)	(34.0, 4813897.5)	(35.0, 4909327.5)	(36.0, 5096109.0)	(37.0, 5191204.0)	(38.0, 5239142.0)	(39.0, 5379517.5)	(40.0, 5438863.0)	(41.0, 5347603.0)	(42.0, 5194594.5)	(43.0, 5093334.0)	(44.0, 4977255.0)	(45.0, 4796425.0)	(46.0, 4547342.0)	(47.0, 4263484.5)	(48.0, 3991856.0)	(49.0, 3711224.5)	(50.0, 3433441.0)	(51.0, 3136622.0)	(52.0, 2825689.0)	(53.0, 2496059.0)	(54.0, 2134004.0)	(55.0, 1765253.0)	(56.0, 1423964.0)	(57.0, 1123912.5)	(58.0, 869627.0)	(59.0, 669532.5)	(60.0, 515740.0)	(61.0, 402996.5)	(62.0, 322761.5)	(63.0, 265820.0)	(64.0, 222999.5)	(65.0, 189355.5)	(66.0, 162990.5)	(67.0, 142139.5)	(68.0, 124037.0)	(69.0, 108224.5)	(70.0, 95742.0)	(71.0, 86058.5)	(72.0, 79307.0)	(73.0, 73913.5)	(74.0, 67362.0)	(75.0, 58156.0)	(76.0, 48605.0)	(77.0, 41669.0)	(78.0, 35978.5)	(79.0, 31084.0)	(80.0, 26655.5)	(81.0, 22268.5)	(82.0, 18463.0)	(83.0, 15250.0)	(84.0, 12096.0)	(85.0, 9235.0)	(86.0, 6949.5)	(87.0, 5047.0)	(88.0, 3451.5)	(89.0, 2256.5)	(90.0, 1554.0)	(91.0, 1034.5)	(92.0, 697.5)	(93.0, 483.0)	(94.0, 372.5)	(95.0, 271.5)	(96.0, 170.0)	(97.0, 123.5)	(98.0, 87.5)	(99.0, 43.0)	(100.0, 11.5)
SRR11878619_GSM4579144_mESC_DMSO_ATAC_rep1_Mus_musculus_ATAC-seq_2	(0.0, 1964.0)	(1.0, 1447.5)	(2.0, 884.0)	(3.0, 910.5)	(4.0, 1194.5)	(5.0, 1717.0)	(6.0, 2521.5)	(7.0, 4148.0)	(8.0, 6485.0)	(9.0, 10270.5)	(10.0, 15220.0)	(11.0, 23568.0)	(12.0, 39506.0)	(13.0, 64304.5)	(14.0, 106133.0)	(15.0, 175991.5)	(16.0, 286992.5)	(17.0, 449076.5)	(18.0, 670857.5)	(19.0, 953696.0)	(20.0, 1290409.0)	(21.0, 1703053.5)	(22.0, 2187692.5)	(23.0, 2703065.5)	(24.0, 3166607.0)	(25.0, 3525527.5)	(26.0, 3858113.0)	(27.0, 4162534.5)	(28.0, 4323420.0)	(29.0, 4408412.0)	(30.0, 4486521.0)	(31.0, 4544861.0)	(32.0, 4665426.0)	(33.0, 4823248.0)	(34.0, 4907648.0)	(35.0, 4941291.5)	(36.0, 5030854.0)	(37.0, 5027982.5)	(38.0, 4960776.5)	(39.0, 4975946.0)	(40.0, 4907383.5)	(41.0, 4745242.0)	(42.0, 4581065.5)	(43.0, 4469238.5)	(44.0, 4374838.5)	(45.0, 4219254.0)	(46.0, 4017198.0)	(47.0, 3840920.5)	(48.0, 3696871.5)	(49.0, 3527668.0)	(50.0, 3326613.5)	(51.0, 3102375.5)	(52.0, 2862414.5)	(53.0, 2609938.0)	(54.0, 2359310.5)	(55.0, 2108328.0)	(56.0, 1861821.5)	(57.0, 1624568.0)	(58.0, 1394311.0)	(59.0, 1182507.5)	(60.0, 989209.0)	(61.0, 814314.0)	(62.0, 660701.5)	(63.0, 529541.5)	(64.0, 422154.0)	(65.0, 336234.5)	(66.0, 269046.5)	(67.0, 217887.5)	(68.0, 179582.0)	(69.0, 149911.0)	(70.0, 126501.5)	(71.0, 109206.5)	(72.0, 96464.5)	(73.0, 86150.0)	(74.0, 76796.0)	(75.0, 66481.5)	(76.0, 56069.5)	(77.0, 48117.0)	(78.0, 41139.0)	(79.0, 35073.5)	(80.0, 30212.5)	(81.0, 25729.5)	(82.0, 21956.5)	(83.0, 18686.0)	(84.0, 15418.5)	(85.0, 12548.0)	(86.0, 10116.0)	(87.0, 7989.0)	(88.0, 6436.0)	(89.0, 5338.0)	(90.0, 4598.0)	(91.0, 4166.5)	(92.0, 3879.5)	(93.0, 3807.5)	(94.0, 3907.0)	(95.0, 4113.0)	(96.0, 4463.5)	(97.0, 5129.0)	(98.0, 6404.5)	(99.0, 9055.0)	(100.0, 30209.5)
SRR11878620_GSM4579145_mESC_DMSO_ATAC_rep2_Mus_musculus_ATAC-seq_1	(0.0, 19.0)	(1.0, 31.5)	(2.0, 64.0)	(3.0, 142.0)	(4.0, 281.0)	(5.0, 576.5)	(6.0, 1147.5)	(7.0, 2381.0)	(8.0, 4090.5)	(9.0, 7328.5)	(10.0, 11420.5)	(11.0, 18556.0)	(12.0, 33120.0)	(13.0, 56030.0)	(14.0, 96557.0)	(15.0, 165372.0)	(16.0, 275465.5)	(17.0, 439709.0)	(18.0, 670167.0)	(19.0, 969091.5)	(20.0, 1329570.0)	(21.0, 1776562.5)	(22.0, 2305580.5)	(23.0, 2872687.5)	(24.0, 3387545.5)	(25.0, 3796739.0)	(26.0, 4179358.0)	(27.0, 4531736.5)	(28.0, 4721382.5)	(29.0, 4829411.0)	(30.0, 4928512.0)	(31.0, 4994438.0)	(32.0, 5156562.5)	(33.0, 5391996.0)	(34.0, 5561539.0)	(35.0, 5715253.0)	(36.0, 5972563.5)	(37.0, 6113732.5)	(38.0, 6190013.0)	(39.0, 6359982.5)	(40.0, 6428963.5)	(41.0, 6316403.0)	(42.0, 6130714.5)	(43.0, 5983180.0)	(44.0, 5804293.5)	(45.0, 5560190.5)	(46.0, 5210358.5)	(47.0, 4804552.5)	(48.0, 4409668.5)	(49.0, 3989724.5)	(50.0, 3581549.0)	(51.0, 3193478.5)	(52.0, 2827353.0)	(53.0, 2456589.0)	(54.0, 2063632.0)	(55.0, 1683577.5)	(56.0, 1339882.5)	(57.0, 1047768.5)	(58.0, 808148.0)	(59.0, 621644.5)	(60.0, 480356.0)	(61.0, 379919.5)	(62.0, 306478.5)	(63.0, 256914.5)	(64.0, 227890.0)	(65.0, 194904.0)	(66.0, 158935.5)	(67.0, 136838.5)	(68.0, 120049.0)	(69.0, 105483.0)	(70.0, 94350.5)	(71.0, 85198.0)	(72.0, 78591.5)	(73.0, 73008.0)	(74.0, 66168.0)	(75.0, 57280.0)	(76.0, 48002.0)	(77.0, 40935.0)	(78.0, 35181.0)	(79.0, 30323.5)	(80.0, 26082.5)	(81.0, 21698.5)	(82.0, 18019.0)	(83.0, 14970.5)	(84.0, 11811.0)	(85.0, 9016.5)	(86.0, 6793.5)	(87.0, 4777.0)	(88.0, 3212.5)	(89.0, 2222.5)	(90.0, 1520.5)	(91.0, 1019.0)	(92.0, 693.0)	(93.0, 488.5)	(94.0, 383.5)	(95.0, 261.0)	(96.0, 155.5)	(97.0, 109.0)	(98.0, 89.0)	(99.0, 52.5)	(100.0, 14.0)
SRR11878620_GSM4579145_mESC_DMSO_ATAC_rep2_Mus_musculus_ATAC-seq_2	(0.0, 2047.0)	(1.0, 1536.0)	(2.0, 956.5)	(3.0, 1015.5)	(4.0, 1288.0)	(5.0, 1749.0)	(6.0, 2520.5)	(7.0, 4089.5)	(8.0, 6317.0)	(9.0, 9988.0)	(10.0, 14698.5)	(11.0, 22908.0)	(12.0, 38219.5)	(13.0, 62318.5)	(14.0, 103953.0)	(15.0, 173652.0)	(16.0, 285354.5)	(17.0, 452196.5)	(18.0, 683398.5)	(19.0, 981114.5)	(20.0, 1341728.5)	(21.0, 1790449.0)	(22.0, 2318519.0)	(23.0, 2885335.0)	(24.0, 3407420.5)	(25.0, 3826445.5)	(26.0, 4220400.0)	(27.0, 4583953.0)	(28.0, 4784078.5)	(29.0, 4911414.5)	(30.0, 5037475.0)	(31.0, 5136431.5)	(32.0, 5327028.0)	(33.0, 5587136.0)	(34.0, 5773418.0)	(35.0, 5903940.5)	(36.0, 6107739.5)	(37.0, 6198614.5)	(38.0, 6174475.0)	(39.0, 6225068.5)	(40.0, 6154730.0)	(41.0, 5931130.5)	(42.0, 5686740.0)	(43.0, 5482426.0)	(44.0, 5288732.0)	(45.0, 5040177.0)	(46.0, 4717680.5)	(47.0, 4398911.5)	(48.0, 4122767.5)	(49.0, 3805290.0)	(50.0, 3469840.0)	(51.0, 3138611.5)	(52.0, 2821775.0)	(53.0, 2518858.5)	(54.0, 2212903.5)	(55.0, 1908529.5)	(56.0, 1621333.5)	(57.0, 1356555.0)	(58.0, 1112903.5)	(59.0, 898898.0)	(60.0, 715544.5)	(61.0, 565770.0)	(62.0, 448287.5)	(63.0, 358502.0)	(64.0, 289149.0)	(65.0, 236544.5)	(66.0, 197047.0)	(67.0, 167313.0)	(68.0, 143720.0)	(69.0, 123888.0)	(70.0, 107987.0)	(71.0, 94923.0)	(72.0, 85057.0)	(73.0, 77816.5)	(74.0, 70099.0)	(75.0, 60476.0)	(76.0, 51013.5)	(77.0, 43721.0)	(78.0, 37879.0)	(79.0, 32789.5)	(80.0, 28454.5)	(81.0, 24192.5)	(82.0, 20367.0)	(83.0, 17212.5)	(84.0, 14108.5)	(85.0, 11303.0)	(86.0, 9130.0)	(87.0, 7256.5)	(88.0, 5695.0)	(89.0, 4698.0)	(90.0, 4125.0)	(91.0, 3789.5)	(92.0, 3607.5)	(93.0, 3520.0)	(94.0, 3621.5)	(95.0, 3790.0)	(96.0, 4152.5)	(97.0, 4717.0)	(98.0, 5807.5)	(99.0, 8329.0)	(100.0, 30018.5)
SRR9894854_GSM4005240_NPC48h_DMSO_ATAC_rep1_Mus_musculus_ATAC-seq_1	(0.0, 2.0)	(1.0, 5.5)	(2.0, 19.0)	(3.0, 48.0)	(4.0, 67.0)	(5.0, 115.5)	(6.0, 227.0)	(7.0, 420.5)	(8.0, 551.0)	(9.0, 745.5)	(10.0, 1197.5)	(11.0, 1838.0)	(12.0, 2221.0)	(13.0, 2864.0)	(14.0, 4709.0)	(15.0, 8996.5)	(16.0, 12082.0)	(17.0, 15504.5)	(18.0, 26116.5)	(19.0, 46095.5)	(20.0, 58885.0)	(21.0, 77331.0)	(22.0, 122416.0)	(23.0, 175062.0)	(24.0, 201069.0)	(25.0, 246641.5)	(26.0, 343534.0)	(27.0, 472390.5)	(28.0, 549927.0)	(29.0, 642926.5)	(30.0, 837161.5)	(31.0, 1038215.0)	(32.0, 1138033.0)	(33.0, 1273974.0)	(34.0, 1561439.0)	(35.0, 1866095.5)	(36.0, 2019228.0)	(37.0, 2134305.5)	(38.0, 2299058.5)	(39.0, 2407449.0)	(40.0, 2466164.0)	(41.0, 2506438.5)	(42.0, 2573950.0)	(43.0, 2643877.0)	(44.0, 2686567.0)	(45.0, 2697919.5)	(46.0, 2733328.5)	(47.0, 2753175.0)	(48.0, 2748965.0)	(49.0, 2722411.0)	(50.0, 2635258.5)	(51.0, 2471157.0)	(52.0, 2367654.0)	(53.0, 2194286.0)	(54.0, 1858455.0)	(55.0, 1539096.5)	(56.0, 1382201.0)	(57.0, 1242150.5)	(58.0, 980457.5)	(59.0, 759931.0)	(60.0, 661047.0)	(61.0, 583823.5)	(62.0, 451321.0)	(63.0, 357653.5)	(64.0, 319265.0)	(65.0, 291727.5)	(66.0, 243923.0)	(67.0, 209331.5)	(68.0, 195007.0)	(69.0, 181766.0)	(70.0, 157103.0)	(71.0, 139431.0)	(72.0, 133181.0)	(73.0, 126980.5)	(74.0, 113200.5)	(75.0, 98004.5)	(76.0, 90388.0)	(77.0, 81938.0)	(78.0, 67451.5)	(79.0, 54841.5)	(80.0, 48268.0)	(81.0, 43458.0)	(82.0, 33327.0)	(83.0, 23157.5)	(84.0, 18309.0)	(85.0, 14865.5)	(86.0, 9123.5)	(87.0, 5264.0)	(88.0, 3703.0)	(89.0, 2589.0)	(90.0, 1101.5)	(91.0, 577.5)	(92.0, 427.0)	(93.0, 346.5)	(94.0, 216.0)	(95.0, 133.0)	(96.0, 100.0)	(97.0, 82.5)	(98.0, 61.0)	(99.0, 59.0)	(100.0, 61.0)
SRR9894854_GSM4005240_NPC48h_DMSO_ATAC_rep1_Mus_musculus_ATAC-seq_2	(0.0, 17.0)	(1.0, 23.0)	(2.0, 46.0)	(3.0, 109.0)	(4.0, 155.0)	(5.0, 212.0)	(6.0, 424.0)	(7.0, 768.5)	(8.0, 958.0)	(9.0, 1229.0)	(10.0, 1863.0)	(11.0, 2778.0)	(12.0, 3330.0)	(13.0, 4266.0)	(14.0, 6690.0)	(15.0, 11420.5)	(16.0, 14663.0)	(17.0, 18886.0)	(18.0, 30628.5)	(19.0, 51203.5)	(20.0, 64259.0)	(21.0, 84318.0)	(22.0, 130972.5)	(23.0, 184761.0)	(24.0, 211954.0)	(25.0, 257456.5)	(26.0, 355157.0)	(27.0, 484179.5)	(28.0, 561004.0)	(29.0, 653545.0)	(30.0, 846414.5)	(31.0, 1048884.5)	(32.0, 1151026.0)	(33.0, 1284764.5)	(34.0, 1566162.0)	(35.0, 1866809.5)	(36.0, 2019798.0)	(37.0, 2133385.0)	(38.0, 2300411.0)	(39.0, 2414371.5)	(40.0, 2474893.0)	(41.0, 2521899.0)	(42.0, 2597051.0)	(43.0, 2671066.0)	(44.0, 2716935.0)	(45.0, 2727989.5)	(46.0, 2763346.5)	(47.0, 2780941.5)	(48.0, 2774234.0)	(49.0, 2752167.0)	(50.0, 2645220.5)	(51.0, 2426927.0)	(52.0, 2293513.0)	(53.0, 2125351.5)	(54.0, 1796482.5)	(55.0, 1481691.5)	(56.0, 1327608.0)	(57.0, 1193159.0)	(58.0, 944130.0)	(59.0, 735985.0)	(60.0, 642420.0)	(61.0, 570486.5)	(62.0, 446121.5)	(63.0, 355695.5)	(64.0, 317701.0)	(65.0, 290638.5)	(66.0, 244153.0)	(67.0, 210395.5)	(68.0, 196061.0)	(69.0, 182962.0)	(70.0, 159100.0)	(71.0, 141750.5)	(72.0, 135164.0)	(73.0, 128468.5)	(74.0, 114394.5)	(75.0, 99993.5)	(76.0, 92971.0)	(77.0, 84292.5)	(78.0, 69928.5)	(79.0, 57572.5)	(80.0, 50902.0)	(81.0, 45642.0)	(82.0, 35008.0)	(83.0, 24984.5)	(84.0, 20335.0)	(85.0, 16720.5)	(86.0, 10871.0)	(87.0, 6884.0)	(88.0, 5132.0)	(89.0, 3821.5)	(90.0, 2032.5)	(91.0, 1328.5)	(92.0, 1103.0)	(93.0, 934.0)	(94.0, 651.5)	(95.0, 473.5)	(96.0, 409.0)	(97.0, 336.5)	(98.0, 225.5)	(99.0, 177.5)	(100.0, 168.0)
SRR9894855_GSM4005241_NPC48h_DMSO_ATAC_rep2_Mus_musculus_ATAC-seq_1	(0.0, 0.0)	(1.0, 4.5)	(2.0, 17.5)	(3.0, 40.0)	(4.0, 54.0)	(5.0, 83.0)	(6.0, 162.5)	(7.0, 299.0)	(8.0, 385.0)	(9.0, 507.0)	(10.0, 795.5)	(11.0, 1197.0)	(12.0, 1432.0)	(13.0, 1889.0)	(14.0, 3094.0)	(15.0, 5598.0)	(16.0, 7354.0)	(17.0, 9691.5)	(18.0, 16401.0)	(19.0, 28216.5)	(20.0, 35660.0)	(21.0, 46823.0)	(22.0, 73730.5)	(23.0, 106402.5)	(24.0, 123330.0)	(25.0, 150758.5)	(26.0, 209443.0)	(27.0, 285777.5)	(28.0, 330856.0)	(29.0, 386600.5)	(30.0, 502751.5)	(31.0, 626200.0)	(32.0, 689242.0)	(33.0, 773102.5)	(34.0, 948467.0)	(35.0, 1135337.0)	(36.0, 1230703.0)	(37.0, 1304563.0)	(38.0, 1415938.5)	(39.0, 1491697.0)	(40.0, 1529940.0)	(41.0, 1558861.0)	(42.0, 1609828.0)	(43.0, 1663157.0)	(44.0, 1694440.0)	(45.0, 1706033.0)	(46.0, 1735635.5)	(47.0, 1755748.5)	(48.0, 1757852.0)	(49.0, 1743604.5)	(50.0, 1696361.5)	(51.0, 1607191.5)	(52.0, 1551017.0)	(53.0, 1444451.5)	(54.0, 1236135.5)	(55.0, 1033301.5)	(56.0, 932218.0)	(57.0, 838035.5)	(58.0, 662851.5)	(59.0, 513343.0)	(60.0, 444836.0)	(61.0, 391608.0)	(62.0, 299583.5)	(63.0, 234524.0)	(64.0, 208261.0)	(65.0, 188619.5)	(66.0, 155167.0)	(67.0, 131163.5)	(68.0, 120971.0)	(69.0, 112015.0)	(70.0, 96142.0)	(71.0, 84797.0)	(72.0, 80369.0)	(73.0, 76115.5)	(74.0, 67398.0)	(75.0, 58000.5)	(76.0, 53067.0)	(77.0, 47837.5)	(78.0, 38819.5)	(79.0, 31188.5)	(80.0, 27346.0)	(81.0, 24363.5)	(82.0, 18098.0)	(83.0, 12294.5)	(84.0, 9774.0)	(85.0, 7863.5)	(86.0, 4676.5)	(87.0, 2622.0)	(88.0, 1844.0)	(89.0, 1281.0)	(90.0, 560.5)	(91.0, 320.5)	(92.0, 238.0)	(93.0, 216.5)	(94.0, 153.0)	(95.0, 98.5)	(96.0, 86.0)	(97.0, 71.0)	(98.0, 46.5)	(99.0, 39.5)	(100.0, 42.0)
SRR9894855_GSM4005241_NPC48h_DMSO_ATAC_rep2_Mus_musculus_ATAC-seq_2	(0.0, 24.0)	(1.0, 23.0)	(2.0, 35.5)	(3.0, 68.0)	(4.0, 87.0)	(5.0, 146.5)	(6.0, 296.0)	(7.0, 512.5)	(8.0, 639.0)	(9.0, 838.0)	(10.0, 1274.5)	(11.0, 1911.5)	(12.0, 2311.0)	(13.0, 2966.5)	(14.0, 4629.5)	(15.0, 7576.0)	(16.0, 9515.0)	(17.0, 12329.0)	(18.0, 19789.5)	(19.0, 32140.5)	(20.0, 39845.0)	(21.0, 51344.0)	(22.0, 78935.5)	(23.0, 112102.5)	(24.0, 129177.0)	(25.0, 156699.0)	(26.0, 215749.0)	(27.0, 293050.5)	(28.0, 338824.0)	(29.0, 393243.5)	(30.0, 508803.0)	(31.0, 632308.0)	(32.0, 694673.0)	(33.0, 777538.0)	(34.0, 951285.5)	(35.0, 1136414.5)	(36.0, 1230661.0)	(37.0, 1304052.0)	(38.0, 1417405.0)	(39.0, 1496150.5)	(40.0, 1534934.0)	(41.0, 1569097.0)	(42.0, 1628764.5)	(43.0, 1686987.0)	(44.0, 1719705.0)	(45.0, 1735117.0)	(46.0, 1768718.5)	(47.0, 1787113.5)	(48.0, 1787319.0)	(49.0, 1776533.5)	(50.0, 1715532.0)	(51.0, 1584407.5)	(52.0, 1503499.0)	(53.0, 1396566.0)	(54.0, 1186120.0)	(55.0, 981459.5)	(56.0, 880312.0)	(57.0, 792260.5)	(58.0, 628492.5)	(59.0, 488844.0)	(60.0, 424912.0)	(61.0, 376620.0)	(62.0, 292294.5)	(63.0, 230846.0)	(64.0, 205431.0)	(65.0, 186765.5)	(66.0, 154325.0)	(67.0, 130987.0)	(68.0, 121424.0)	(69.0, 113052.5)	(70.0, 97649.0)	(71.0, 86062.5)	(72.0, 81508.0)	(73.0, 77376.0)	(74.0, 68709.0)	(75.0, 59336.0)	(76.0, 54498.0)	(77.0, 49479.5)	(78.0, 40523.5)	(79.0, 32655.5)	(80.0, 28725.0)	(81.0, 25689.5)	(82.0, 19509.5)	(83.0, 13711.0)	(84.0, 11057.0)	(85.0, 9094.0)	(86.0, 5806.0)	(87.0, 3644.5)	(88.0, 2808.0)	(89.0, 2125.0)	(90.0, 1199.5)	(91.0, 844.0)	(92.0, 731.0)	(93.0, 607.0)	(94.0, 422.5)	(95.0, 312.0)	(96.0, 262.0)	(97.0, 213.0)	(98.0, 145.5)	(99.0, 124.5)	(100.0, 122.0)
