Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
SRR11878619_GSM4579144_mESC_DMSO_ATAC_rep1_Mus_musculus_ATAC-seq_1	(14.0, 4.0)	(15.0, 52.0)	(16.0, 309.0)	(17.0, 1236.0)	(18.0, 2989.0)	(19.0, 5395.0)	(20.0, 8951.0)	(21.0, 16503.0)	(22.0, 31415.0)	(23.0, 68371.0)	(24.0, 139894.0)	(25.0, 263268.0)	(26.0, 425881.0)	(27.0, 667707.0)	(28.0, 969054.0)	(29.0, 1395689.0)	(30.0, 1869609.0)	(31.0, 2610352.0)	(32.0, 3598876.0)	(33.0, 6814993.0)	(34.0, 12630846.0)	(35.0, 21185443.0)	(36.0, 88103786.0)	(37.0, 12080049.0)					
SRR11878619_GSM4579144_mESC_DMSO_ATAC_rep1_Mus_musculus_ATAC-seq_2	(11.0, 99.0)	(12.0, 455.0)	(13.0, 1703.0)	(14.0, 4159.0)	(15.0, 8194.0)	(16.0, 14140.0)	(17.0, 25128.0)	(18.0, 39051.0)	(19.0, 62629.0)	(20.0, 94785.0)	(21.0, 149791.0)	(22.0, 226840.0)	(23.0, 332387.0)	(24.0, 437870.0)	(25.0, 568887.0)	(26.0, 694656.0)	(27.0, 900928.0)	(28.0, 1151451.0)	(29.0, 1538630.0)	(30.0, 2008467.0)	(31.0, 2845899.0)	(32.0, 4151051.0)	(33.0, 7847114.0)	(34.0, 17250718.0)	(35.0, 34015103.0)	(36.0, 68385577.0)	(37.0, 10134960.0)		
SRR11878620_GSM4579145_mESC_DMSO_ATAC_rep2_Mus_musculus_ATAC-seq_1	(14.0, 6.0)	(15.0, 47.0)	(16.0, 308.0)	(17.0, 1247.0)	(18.0, 2950.0)	(19.0, 5558.0)	(20.0, 8977.0)	(21.0, 16208.0)	(22.0, 31082.0)	(23.0, 67396.0)	(24.0, 135676.0)	(25.0, 258185.0)	(26.0, 425620.0)	(27.0, 688346.0)	(28.0, 1022694.0)	(29.0, 1491897.0)	(30.0, 1960169.0)	(31.0, 2591008.0)	(32.0, 3291316.0)	(33.0, 4715094.0)	(34.0, 7961451.0)	(35.0, 25846063.0)	(36.0, 112296239.0)	(37.0, 7411039.0)					
SRR11878620_GSM4579145_mESC_DMSO_ATAC_rep2_Mus_musculus_ATAC-seq_2	(11.0, 83.0)	(12.0, 378.0)	(13.0, 1648.0)	(14.0, 4193.0)	(15.0, 7800.0)	(16.0, 12284.0)	(17.0, 19637.0)	(18.0, 28674.0)	(19.0, 44771.0)	(20.0, 68187.0)	(21.0, 111130.0)	(22.0, 172786.0)	(23.0, 257045.0)	(24.0, 343886.0)	(25.0, 454257.0)	(26.0, 565775.0)	(27.0, 749051.0)	(28.0, 985034.0)	(29.0, 1383111.0)	(30.0, 1911250.0)	(31.0, 2848983.0)	(32.0, 4565680.0)	(33.0, 10450103.0)	(34.0, 20424669.0)	(35.0, 31087708.0)	(36.0, 80745430.0)	(37.0, 12985023.0)		
SRR9894854_GSM4005240_NPC48h_DMSO_ATAC_rep1_Mus_musculus_ATAC-seq_1	(14.0, 7.0)	(15.0, 12.0)	(16.0, 14.0)	(17.0, 28.0)	(18.0, 99.0)	(19.0, 264.0)	(20.0, 763.0)	(21.0, 1955.0)	(22.0, 4407.0)	(23.0, 8869.0)	(24.0, 16517.0)	(25.0, 28886.0)	(26.0, 47722.0)	(27.0, 74969.0)	(28.0, 112888.0)	(29.0, 161878.0)	(30.0, 222148.0)	(31.0, 295910.0)	(32.0, 384998.0)	(33.0, 490033.0)	(34.0, 619468.0)	(35.0, 781903.0)	(36.0, 1004346.0)	(37.0, 1329573.0)	(38.0, 1933672.0)	(39.0, 4087894.0)	(40.0, 39602460.0)		
SRR9894854_GSM4005240_NPC48h_DMSO_ATAC_rep1_Mus_musculus_ATAC-seq_2	(12.0, 109.0)	(13.0, 322.0)	(14.0, 1299.0)	(15.0, 6171.0)	(16.0, 25022.0)	(17.0, 61652.0)	(18.0, 97662.0)	(19.0, 117207.0)	(20.0, 125320.0)	(21.0, 130975.0)	(22.0, 140028.0)	(23.0, 152724.0)	(24.0, 170456.0)	(25.0, 191221.0)	(26.0, 217245.0)	(27.0, 247707.0)	(28.0, 284342.0)	(29.0, 328274.0)	(30.0, 382636.0)	(31.0, 446858.0)	(32.0, 524755.0)	(33.0, 625586.0)	(34.0, 763063.0)	(35.0, 968300.0)	(36.0, 1219380.0)	(37.0, 1661798.0)	(38.0, 2661249.0)	(39.0, 6233846.0)	(40.0, 33426476.0)
SRR9894855_GSM4005241_NPC48h_DMSO_ATAC_rep2_Mus_musculus_ATAC-seq_1	(13.0, 5.0)	(14.0, 2.0)	(15.0, 12.0)	(16.0, 9.0)	(17.0, 22.0)	(18.0, 82.0)	(19.0, 216.0)	(20.0, 542.0)	(21.0, 1405.0)	(22.0, 3085.0)	(23.0, 6154.0)	(24.0, 11281.0)	(25.0, 20026.0)	(26.0, 32798.0)	(27.0, 51908.0)	(28.0, 76839.0)	(29.0, 109329.0)	(30.0, 148565.0)	(31.0, 196962.0)	(32.0, 254730.0)	(33.0, 324890.0)	(34.0, 408633.0)	(35.0, 515771.0)	(36.0, 656883.0)	(37.0, 869822.0)	(38.0, 1259336.0)	(39.0, 2668163.0)	(40.0, 24798362.0)	
SRR9894855_GSM4005241_NPC48h_DMSO_ATAC_rep2_Mus_musculus_ATAC-seq_2	(12.0, 78.0)	(13.0, 556.0)	(14.0, 1504.0)	(15.0, 4634.0)	(16.0, 16641.0)	(17.0, 39395.0)	(18.0, 62093.0)	(19.0, 75669.0)	(20.0, 82244.0)	(21.0, 87166.0)	(22.0, 94220.0)	(23.0, 103727.0)	(24.0, 117184.0)	(25.0, 132507.0)	(26.0, 150104.0)	(27.0, 171510.0)	(28.0, 197636.0)	(29.0, 227657.0)	(30.0, 263853.0)	(31.0, 305695.0)	(32.0, 359673.0)	(33.0, 428135.0)	(34.0, 518903.0)	(35.0, 652795.0)	(36.0, 823869.0)	(37.0, 1118823.0)	(38.0, 1779929.0)	(39.0, 4155182.0)	(40.0, 20444450.0)
